year,country,Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Agricultural land (sq. km),Agricultural land (% of land area),Arable land (hectares per person),Arable land (% of land area),Land under cereal production (hectares),Permanent cropland (% of land area),Forest area (sq. km),Forest area (% of land area),Cereal production (metric tons),Crop production index (2014-2016 = 100),Food production index (2014-2016 = 100),Livestock production index (2014-2016 = 100),Cereal yield (kg per hectare),"Access to electricity, rural (% of rural population)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added (% of GDP)",Rural population,Rural population growth (annual %),Rural population (% of total population),Agricultural raw materials imports (% of merchandise imports)
1960,SYR,,,,,,,,,,,,,,,,,,,,2953325.0,,63.193,
1960,TCA,,,,,,,,,,,,,,,,,,,,2929.0,,52.321,
1960,TCD,,,,,,,,,,,,,,,,,,124557953.545736,39.7209228587099,2845651.0,,93.305,
1960,TEA,,,,,,,,,,,,,,,,,,23717363377.2364,29.4005921670385,737078760.0,,83.3561394236111,
1960,TEC,,,,,,,,,,,,,,,,,,,,169223432.0,,54.9829258514403,
1960,TGO,,,,,,,,,,,,,,,,,,,,1504159.0,,89.902,
1960,THA,,,,,,,,,,,,,,,,,,1006138546.2804,36.4443804267702,21569471.0,,80.328,
1960,TJK,,,,,,,,,,,,,,,,,,,,1411579.0,,66.832,
1960,TKM,,,,,,,,,,,,,,,,,,,,880696.0,,53.588,
1960,TLA,,,,,,,,,,,,,,,,,,,,106050996.0,,50.8220803853453,
1960,TLS,,,,,,,,,,,,,,,,,,,,420880.0,,89.909,
1960,TMN,,,,,,,,,,,,,,,,,,,,64331147.0,,66.2260738696318,
1960,TON,,,,,,,,,,,,,,,,,,,,54556.0,,82.448,
1960,TSA,,,,,,,,,,,,,,,,,,20546835435.5953,43.4629875033526,469034728.0,,83.3596965154784,
1960,TSS,,,,,,,,,,,,,,,,,,,,194381298.0,,85.3661567321213,
1960,TTO,,,,,,,,,,,,,,,,,,,,556353.0,,65.845,
1960,TUN,,,,,,,,,,,,,,,,,,,,2666586.0,,62.489,
1960,TUR,,,,,,,,,,,,,,,,,,4155555555.55556,54.9192364170338,19401731.0,,68.485,
1960,TUV,,,,,,,,,,,,,,,,,,,,4708.0,,84.105,
1960,TZA,,,,,,,,,,,,,,,,,,,,9381991.0,,94.754,
1960,UGA,,,,,,,,,,,,,,,,,,211043280.701369,49.8748606120679,7303471.0,,95.583,
1960,UKR,,,,,,,,,,,,,,,,,,,,22785843.0,,53.208,
1960,URY,,,,,,,,,,,,,,,,,,,,499894.0,,19.759,
1960,USA,,,,,,,,,,,,,,,,,,,,54208527.0,,30.004,
1960,UZB,,,,,,,,,,,,,,,,,,,,5419818.0,,66.022,
1960,VCT,,,,,,,,,,,,,,,,,,,,62495.0,,74.057,
1960,VEN,,,,,,,,,,,,,,,,,,,,3132414.0,,38.387,
1960,VGB,,,,,,,,,,,,,,,,,,,,6978.0,,87.772,
1960,VIR,,,,,,,,,,,,,,,,,,,,14145.0,,43.523,
1960,VNM,,,,,,,,,,,,,,,,,,,,27749739.0,,85.3,
1960,VUT,,,,,,,,,,,,,,,,,,,,57728.0,,89.596,
1960,WSM,,,,,,,,,,,,,,,,,,,,91200.0,,81.074,
1960,YEM,,,,,,,,,,,,,,,,,,,,5028862.0,,90.9,
1960,ZAF,,,,,,,,,,,,,,,,,,790999683.600127,9.04144663146103,8775928.0,,53.381,
1960,ZMB,,,,,,,,,,,,,,,,,,80079968.0000447,11.4606291324384,2581485.0,,81.855,
1960,ZWE,,,,,,,,,,,,,,,,,,,,3329101.0,,87.392,
1961,ABW,,,20.0,11.1111111111111,0.0359854618734031,11.1111111111111,,,,,,,,,,,,,,27366.0,1.21690441236502,49.239,
1961,AFE,158.829084602409,7.26728074782742,6170420.0,40.4884524207293,0.528917961264539,4.13246905186671,24829776.0,0.36715960568604,,,22945358.0,13.9569162092122,12.758164543167,12.9260156680177,924.111737024933,,,,,113738138.0,2.36360570985153,85.1748247539335,
1961,AFG,,0.143790849673203,377500.0,57.878355794735,0.830250823657655,11.7289913067476,3313500.0,0.153320147800622,,,3695000.0,43.24,41.0,41.54,1115.1,,,,,8413932.0,1.65280560026098,91.316,
1961,AFW,,0.501088261019914,2975436.6,32.9064671953379,0.633006773448285,6.98728138147234,22506121.0,0.867767487824128,,,15199359.0,100.0,100.0,100.0,675.35481551441,,,,,84656503.0,1.66579305650633,84.9055547997218,
1961,AGO,,0.374531835205993,451770.0,36.2372663832518,0.503623163119393,2.14165396647148,657000.0,0.401058795219379,,,544000.0,19.13,18.74,23.14,828.0,,,,,4729118.0,0.921678237006937,89.202,
1961,ALB,,14.587962962963,12320.0,44.963503649635,0.260272321966502,15.7664233576642,347764.0,1.71532846715328,,,293932.0,22.71,21.19,22.52,845.2,,,,,1146208.0,2.77679398065811,69.057,
1961,AND,,,260.0,55.3191489361702,0.0972478848585043,2.12765957446809,,,,,,,,,,,,,,4012.0,1.53211586704353,39.017,
1961,ARB,151.530929437364,,4217020.0,27.8459671979345,0.48949405069214,3.14219696209792,18584301.0,0.28391711909344,,,14787753.0,31.3976946078137,23.1432381845915,19.4344112724812,795.715635250419,,,,,64129826.0,1.54588632428927,68.2728372683262,
1961,ARE,,,2080.0,2.92875246409462,0.0362347723369254,0.070402703463813,0.0,0.0422416220782878,,,0.0,1.64,4.59,7.03,,,,,,35349.0,1.55377806955353,25.617,
1961,ARG,523.903225806452,0.873312899930096,1378290.0,50.3633951963869,0.897266831726066,6.79543536169606,10287500.0,0.319729308032696,,,14512100.0,19.65,31.25,58.16,1410.7,,,,,5343856.0,-0.668010189382103,25.783,
1961,ARM,,,11700.0,,,,,,,,,,,,,,,,,922359.0,1.5591026072092,47.853,
1961,ASM,,,19.3,9.65,0.0309687409271267,3.2,,6.45,,,,,,,,,,,,6894.0,1.32877767317498,33.359,
1961,ATG,,,100.0,22.7272727272727,0.14149274849664,18.1818181818182,,,,,,181.62,157.11,101.54,,,,,,34467.0,2.68760663413239,60.96,
1961,AUS,110.09166782927,46.6492314338302,4744844.445,61.7633318797756,1.37160987312792,1.87165123725967,8441623.0,0.0224941619046379,,,9149882.0,20.94,32.31,49.85,1083.9,,,,,1893125.0,-0.266030769671903,18.059,
1961,AUT,119.231535033659,148.90882178804,35554.0,43.0853126514784,0.238347267028953,20.4677653902084,902089.0,0.787687833252545,,,2274011.0,98.94,78.26,65.69,2520.8,,,,,2493385.0,0.281660516219219,35.186,
1961,AZE,,,44462.0,,,,,,,,,,,,,,,,,1927233.0,4.43982015804011,47.636,
1961,BDI,,,15750.0,61.3317757009346,0.238085244393622,26.285046728972,137397.0,8.95638629283489,,,130000.0,49.34,47.66,32.5,946.2,,,,,2775156.0,2.49235812338463,97.885,
1961,BEL,53.3908632240633,,18110.0,,0.109647833371879,,,,,,,,,,,,,,,683837.0,-0.922270567276611,7.446,
1961,BEN,,0.642391304347826,14420.0,12.5448740688187,0.359484109044034,8.15892160340546,531800.0,0.466122738559773,,,290434.0,13.45,14.51,17.9,546.1,,,108864072.803819,46.1937857251441,2306986.0,1.0097685473008,90.144,
1961,BFA,,0.00966666666666667,81390.0,32.9495614035088,0.43809856970305,10.9649122807018,1777392.0,0.0548245614035088,,,726079.0,8.98,10.23,9.17,408.5,,,134169237.196191,38.3070083278146,4615703.0,1.34525088228275,95.204,
1961,BGD,289.649845520082,2.61475886112725,94800.0,72.827840516248,0.161413315103477,66.1058615656449,8639332.0,2.11262195590382,,,14523696.0,27.03,24.29,18.45,1681.1,,,2793629875.0,57.9882359513306,50496628.0,2.66786476166351,94.722,
1961,BGR,100.168651692441,33.8036218250235,56730.0,51.27903823556,0.53530616062861,38.4344210431167,2521386.0,3.3173641869294,,,4403935.0,88.15,95.89,139.19,1746.6,,,,,4862618.0,-1.75232865803098,61.218,
1961,BHR,,,100.0,14.4927536231884,0.0116045629141378,2.89855072463768,,5.79710144927536,,,,68.62,15.31,2.78,,,,,,30441.0,3.97057031179754,17.663,
1961,BHS,,,100.0,0.999000999000999,0.0572845487205087,0.699300699300699,150.0,0.1998001998002,,,100.0,25.6,25.94,26.7,666.7,,,,,48324.0,3.07212191640765,39.546,
1961,BIH,,,22000.0,,,,,,,,,,,,,,,,,2688941.0,1.20980675642667,80.314,
