year,country,Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",GDP per person employed (constant 2021 PPP $),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
2006,SRB,20.5381228747627,19.227,4.44321469687546,35.694757544106,42.269,31.2515428472305,64.305242455894,9.90216958606104,43786.8819192792,29.3013468824664,50.160530242771,30.08,43.95,36.978,55.074,73.406,63.958,70.5330342190907,63.298,53.403,3363325.0,43.237,47.89,48.003,19.894,20.485,20.188,17.861,20.85,20.85
2006,SSA,58.189623553202,51.3548769686049,5.64518461836833,79.7976327484074,68.9089919342342,74.1524481300437,20.2023669269319,24.6617523035646,9692.58185104321,10.5935526781857,31.2168231193033,53.9900934848964,59.76305918159,56.8830162520359,68.6506204945124,79.9722089575337,74.2200309329346,86.0474497866612,79.3390225079358,73.179917527891,327107126.0,11.0551275307168,,11.5499799725656,26.7798633231035,15.4031204325966,21.0787211629179,5.44773973123851,,5.83613435279527
2006,SSD,62.0625970514497,53.694,2.72473034869461,83.2641794522287,65.174,80.5394491035341,16.7358205477713,45.0390228793779,,16.3475798699423,21.589823078608,67.52,64.77,66.159,72.95,77.858,75.322,92.1950274459154,77.425,74.286,3267896.0,20.053,,18.841,32.126,25.431,28.812,11.106,,12.267
2006,SSF,58.189623553202,51.3548769686049,5.64518461836833,79.7976327484074,68.9089919342342,74.1524481300437,20.2023669269319,24.6617523035646,9692.58185104321,10.5935526781857,31.2168231193033,53.9900934848964,59.76305918159,56.8830162520358,68.6506204945124,79.9722089575338,74.2200309329346,86.0474497866612,79.3390225079358,73.179917527891,327107126.0,11.0551275307168,,11.5499799725656,26.7798633231035,15.4031204325966,21.0787211629179,5.44773973123851,,5.83613435279527
2006,SST,18.4083572980697,33.1307967563209,4.47673757844705,32.3221424922539,54.4165613726435,27.8453708006839,67.6779563554391,10.5427485639628,52508.7495238927,21.9256900791388,59.6659360532749,34.6674633699849,46.4592832316747,40.7453156022341,51.9630521989405,75.0976583145717,63.8351655238114,68.5891711041736,71.1371860793904,59.4074807620071,6588681.0,18.8144965377578,,21.6255116744994,28.4330099325802,17.9281313294807,23.0183738966561,7.03805280778535,,8.40112879317253
2006,STP,19.0758047767394,18.166,9.20041536863967,47.2481827622014,20.047,38.0477673935618,52.7570093457944,6.55763239875389,39940.4341033479,20.3686396677051,60.5555555555556,22.285,25.157,23.734,22.591,25.325,23.945,89.9431863015861,25.346,24.052,23108.0,14.054,,23.458,53.933,51.164,52.536,10.497,16.65,16.65
2006,SUR,8.67649703290775,23.963,1.52790265539771,19.4023856620512,45.937,17.8744830066535,80.5976143379488,2.15848468500869,63295.2916738598,23.6642090751064,67.6592938919859,18.462,41.115,30.234,40.993,68.047,54.81,59.6098689527311,63.107,50.533,183522.0,14.295,,20.742,21.792,14.715,18.114,5.795,,9.096
2006,SVK,4.38813094339376,25.769,3.12734282028243,13.5160089546589,51.151,10.3886661343764,86.4839910453411,0.166996991182402,59264.6213849399,38.8140080800785,56.7978609765277,30.676,39.58,35.226,60.848,76.464,68.635,74.0597482894525,68.253,59.062,2651834.0,26.617,26.804,26.846,15.763,12.157,13.92,12.302,13.395,13.395
2006,SVN,9.49301200613398,34.891,3.83321489275933,17.3306611477515,55.928,13.4974462549922,82.6694427474889,4.75029817933981,78144.7986569219,35.525626799985,54.981361193881,36.397,44.415,40.518,66.574,75.156,70.947,80.5616106569785,66.06,59.467,1025327.0,11.675,13.854,13.887,8.632,8.41,8.518,4.893,5.95,5.95
2006,SWE,2.22674144148395,40.311,3.41320205523135,10.7026630909247,58.86,7.28946103569337,89.297359485104,0.274276173010945,113534.568709212,21.9131965241043,75.8600846104405,51.871,50.827,51.336,76.288,81.126,78.746,87.6718817069019,67.561,63.335,4766168.0,20.919,21.499,21.475,9.063,9.633,9.355,6.895,7.066,7.066
2006,SWZ,16.5883082749727,13.657,2.18301581860032,37.3328762427151,38.143,35.1494523074914,62.6671237572849,4.18605220627847,33599.7790413222,26.2137388380103,57.197952887017,28.915,32.86,30.76,47.388,61.87,54.146,75.7297885674704,60.634,52.749,338855.0,52.318,,55.601,44.824,32.695,39.152,24.968,,27.69
2006,SYR,19.7387309089012,28.356,9.49647987176152,44.4982984206475,42.067,35.0018185488859,55.5017015793525,8.76714502678182,34102.359022259,27.722307096523,52.5389619945758,13.213,55.061,34.432,16.173,78.416,47.386,20.1841601301188,76.238,45.81,5571945.0,12.073,,17.647,44.578,17.302,30.748,5.144,8.17,8.17
2006,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45,
2006,TCD,75.8924225136412,46.513,0.55491797857317,92.7880864766555,65.689,92.2331684980823,7.21188584939783,23.6634383162949,5630.58221928409,4.662976991604,19.4446004947548,45.058,49.008,47.039,56.673,75.972,66.204,73.8821031662822,76.304,66.168,3639849.0,1.726,,1.118,45.808,24.262,35.001,0.949,,0.724
2006,TEA,42.8787332652776,51.7200538869116,3.77885593409393,57.7759086051126,67.6294638319366,53.9970524686292,42.2240919008608,18.9514809154651,13781.0464171632,23.4604999065545,33.6607667269733,54.27817339388,60.8348093036794,57.6699884534279,67.2551951650048,83.5118670628529,75.4972684756872,78.925404274726,79.2884122735482,70.7381889901837,1033619166.0,11.0026124584216,,10.6710064561206,23.135594492367,14.4402845792166,18.6370630938175,4.67003957425185,4.378078409723,4.39475180578743
2006,TEC,18.7514137313163,31.207168175064,3.06549063162318,22.8756099067035,51.7985764324787,19.8101194410981,77.1243900433902,5.15708387521017,50652.9686848813,26.8421512255883,54.4064324347878,32.4865599075064,43.2288452115604,37.9249355418159,57.2534475754912,73.0997891305952,64.9890884273131,74.2248723640283,66.287827490842,56.714603981985,199322447.0,17.5373036471923,20.3036651627749,18.0963034371434,27.3083503353126,16.3404662946344,21.7555339375996,8.77458354816513,8.21101367072788,8.66814807340215
2006,TGO,53.747031711915,23.927,1.1945343563666,86.1826509641368,55.802,84.9881166077702,13.8173490358632,25.913270180519,5973.84026463584,9.05293306286371,37.2000352252213,28.648,23.127,25.864,56.509,61.459,58.982,91.1429977041653,60.98,58.266,2039383.0,6.76,6.804,7.49,18.131,7.392,12.717,4.292,4.229,4.229
2006,THA,43.3911485081394,46.459,3.00540595779141,56.2406970161931,71.608,53.2352910584017,43.7593029838069,21.5193503671653,26858.369534747,20.4868391295951,36.1220096814834,40.38,57.02,48.823,69.685,85.123,77.305,79.3111955395471,81.068,72.493,37763306.0,4.533,4.77,4.842,14.533,7.41,10.919,1.302,1.22,1.22
2006,TJK,54.8606879356021,25.202,6.6097058997383,33.7023961137711,42.548,27.0926364774602,66.2976038862289,16.934758427238,7825.07672249579,16.8778513968822,28.2614069309431,21.743,32.291,26.807,32.18,61.247,45.978,51.9199061719162,58.831,43.923,1921052.0,8.001,,5.987,50.811,25.51,38.664,3.943,2.2,3.13
2006,TKM,33.9778156252929,31.314,2.98905824756454,39.8601791011275,48.255,36.871120853563,60.1398208988725,4.66593001313918,19901.1144678815,26.9923821428977,39.0297425354134,42.5,29.421,35.851,55.302,53.69,54.514,100.916146350003,51.411,51.654,1793121.0,19.903,,12.655,24.867,24.241,24.549,9.561,,6.58
2006,TLA,17.076852900118,45.5522105585143,4.66986256671977,38.9169890787196,59.9406639515985,34.2471269665919,61.0830109212786,6.58532801123841,37956.6054170473,21.9319767798392,60.9911699043703,43.2560952669999,64.5173873347637,53.9479598907823,54.9604142953842,82.7579312058509,68.6864895456684,65.0785070518768,79.3470228488975,64.9468488905133,249009372.0,12.7713239387629,14.6379988776677,15.515130289193,29.9389666591163,12.1132640405729,20.9747625784733,6.21888961747408,7.34684698415072,7.70840648299537
2006,TLS,54.766511173705,40.323,18.4711988008579,84.0950913400833,67.495,65.6238925392254,15.9051711691373,42.7446389054415,7791.03614627006,7.59964193742305,37.633846888872,42.033,47.228,44.705,64.847,75.462,70.299,85.5299318915044,75.321,70.002,395088.0,6.755,,9.802,33.682,18.255,25.748,2.934,,3.581
2006,TMN,24.7315590868185,25.2187322830177,7.14049621976406,40.5828566491375,40.4409898062144,33.4423592831279,59.4171433508832,9.72632906526145,41539.0696004145,25.9895814377421,49.2788583292017,15.6900305065551,49.9366202861482,33.1905941036068,19.7547986699037,74.3939070966405,47.5005327871103,26.280998990957,71.769834633301,45.42152465413,97986502.0,20.9369783023629,25.0978720763586,24.3610387592371,50.5604019292644,18.9934741224948,34.4291876035467,9.27064080835042,11.2017404240293,10.9654017101049
2006,TON,31.7498318762609,33.08,13.4068594485541,55.0988567585743,56.74,41.6919973100202,44.9011432414257,7.45393409549428,16208.5171853088,29.3476798924008,38.9024882313383,25.286,42.527,34.078,46.281,72.609,59.383,61.7500632857987,71.106,57.365,37584.0,1.591,,2.926,29.039,23.759,26.347,0.798,1.09,1.09
2006,TSA,52.6011798638834,35.7246789795668,0.989958083134804,79.5225322432096,53.2438255966278,78.5325737953567,20.4774679391489,19.43153685067,11645.8465189913,19.1082450227554,28.2905752957244,23.377135484749,61.7615375018677,43.2466633669307,32.7526541583464,83.9385339102587,59.0918100247478,38.5554427714035,81.5754537014216,56.9892062517576,586943125.0,17.5078849627536,,17.4180085874644,53.2280365750835,10.0165687379095,30.8600659200507,6.35463927251492,,6.57247985241418
2006,TSS,58.189623553202,51.3548769686049,5.64518461836833,79.7976327484074,68.9089919342342,74.1524481300437,20.2023669269319,24.6617523035646,9692.58185104321,10.5935526781857,31.2168231193033,53.9900934848964,59.76305918159,56.8830162520358,68.6506204945124,79.9722089575337,74.2200309329346,86.0474497866612,79.3390225079358,73.179917527891,327107126.0,11.0551275307168,,11.5499799725656,26.7798633231035,15.4031204325966,21.0787211629179,5.44773973123851,,5.83613435279527
2006,TTO,4.41323020692521,47.203,4.55473296622901,20.1399070898904,62.37,15.585023588811,79.8600929101096,0.830049164682116,68749.2955597364,30.8415801342169,64.7450391240076,47.9,60.49,54.277,59.781,81.997,70.835,70.9441114696993,78.084,66.542,677046.0,10.048,12.98,13.033,21.037,12.42,16.673,4.499,6.27,6.27
2006,TUN,19.4381968749402,22.072,5.47424152593698,31.7594876993007,40.671,26.2852461733637,68.2405123006994,6.92071324293483,36023.7953662927,32.2987230732942,48.2630800517656,19.82,41.082,30.619,26.54,72.66,49.589,35.6106215280807,68.766,46.487,3585831.0,28.358,27.657,27.913,31.905,20.828,26.279,11.555,12.51,12.51
2006,TUR,24.0305519878196,30.338,5.68471068011628,41.0949333186942,41.54,35.4102273792303,58.9050619406534,13.1347123227523,62074.7367383767,26.75773554773,49.2117124644504,23.911,50.333,37.404,25.523,73.695,49.805,33.7599077676899,69.39,46.272,23497202.0,18.076,19.056,18.89,54.596,23.179,38.552,9.925,10.227,10.227
2006,TZA,72.5305441848643,74.847,1.46335230638837,88.6753102794554,85.434,87.211957973067,11.3246897205446,39.8308072092896,4819.30039109937,5.42455564972857,22.0449001654071,79.748,79.536,79.642,88.523,90.369,89.428,97.1919764380383,89.636,88.349,19602335.0,4.833,6.47,6.021,11.229,6.773,9.005,2.121,3.299,3.299
2006,UGA,77.908073168678,58.036,3.50449009188569,81.5907578349287,72.32,78.086267743043,18.4092421650713,20.5373884685936,5255.68804973083,6.18671300359984,15.9052138277221,54.005,66.278,60.096,71.897,77.156,74.469,92.2552937512975,77.072,74.001,10645641.0,3.185,,3.427,20.876,11.503,16.224,1.98,,2.272
2006,UKR,18.7922117352867,30.271,1.28520468515099,19.6415134516134,52.009,18.3563087664625,80.3584818006606,3.78581773527297,37938.4341891935,25.0794543818306,56.1283338828826,34.548,36.019,35.306,66.067,67.183,66.608,88.2007680568832,59.631,55.81,22601904.0,14.391,,14.261,24.779,17.337,20.943,7.016,6.81,6.81
2006,URY,10.7375439210662,38.395,4.74612942241556,29.7822490742322,55.26,25.0361196518166,70.2177509257678,2.0219831302933,46307.6300929094,21.1875653704721,68.0748189713181,45.069,61.419,53.392,62.91,82.671,72.667,70.3769340876559,73.355,61.981,1563527.0,23.571,28.115,28.089,25.408,15.865,20.55,8.224,10.844,10.844
2006,USA,1.66751093308373,49.415,3.36895956853274,7.40244372500739,62.162,4.03348415647466,92.5975562749926,0.0727296218723349,122255.200072129,22.1018151844876,76.2306745569065,52.601,57.565,55.17,67.889,80.228,74.141,80.390612041798,72.348,65.175,155267046.0,11.124,10.508,10.43,14.882,10.194,12.456,4.619,4.623,4.623
2006,UZB,19.4731899671391,36.393,12.2915295516354,51.3015915749512,56.034,39.0100620233158,48.69841816535,5.47023105845028,11478.0810252419,24.9607295407653,55.5660902323968,31.103,51.544,41.586,49.302,78.467,64.04,60.8179650559724,74.233,59.629,10925401.0,9.637,,12.489,31.424,17.9,24.488,5.145,0.2,6.03
2006,VCT,13.7436722335242,32.451,5.72455883048682,25.4009556701519,52.288,19.676396839665,74.5990443298481,1.50683635331409,34683.5616684038,20.6060462695747,65.6502814969012,40.085,66.577,53.664,57.782,82.144,70.458,67.7045996637253,76.723,64.673,52287.0,40.395,,39.53,34.327,25.756,29.934,20.556,,19.15
2006,VEN,9.41759540793322,38.601,4.57511351549765,35.4254609263905,59.278,30.8503383787877,64.5745390736095,1.74726074314716,,22.1837896112004,68.3986149808664,32.565,58.283,45.607,53.275,82.757,67.945,62.4324425527666,80.117,64.86,12114160.0,13.414,15.38,15.361,32.864,16.274,24.451,8.109,8.606,8.606
2006,VIR,2.05145738952047,31.416,3.88281049662364,10.6077442516454,56.292,6.72707068980255,89.3922557483546,0.205145738952047,137566.180389789,20.9718779382853,76.9766646721942,38.782,41.078,39.875,66.995,73.681,70.149,88.5439100263221,66.864,62.798,52651.0,17.14,,21.215,22.689,9.797,16.551,9.209,,10.36
2006,VNM,51.6687810964326,52.948,1.80006676090878,70.7789954972402,73.078,68.9789287363314,29.2210045027598,25.9488902480566,11421.8973866184,20.1802535419206,28.1509653616468,55.013,56.919,55.972,76.17,82.083,79.051,89.7221869846505,78.83,74.604,44786203.0,5.457,,5.402,12.62,9.108,10.853,2.01,,2.046
2006,VUT,63.6012540817323,54.495,1.76070471582465,75.4087156510702,70.715,73.6480109352456,24.5912843489298,3.43136723114809,7661.39651073773,5.97641545254342,30.4223304657243,63.655,62.405,63.031,74.684,80.22,77.513,92.7891617698759,79.644,76.869,100201.0,12.018,13.908,13.543,26.263,22.201,24.236,5.9,8.006,8.006
2006,WSM,35.4155522867077,39.168,2.81492377641081,49.8445439957208,52.558,47.02962021931,50.1554560042792,16.6638807167692,18880.960787909,13.6851430863867,50.8993046269056,36.259,53.516,45.288,45.051,71.369,58.666,61.3115328979091,68.439,55.512,63186.0,11.244,,13.515,32.596,22.451,27.288,4.719,1.29,5.321
2006,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,
2006,YEM,28.593261212204,25.312,6.8556286159538,47.7605256884157,36.253,40.9048970724619,52.2394743115843,13.1519326913729,,17.1961277964874,54.2106109913086,12.985,49.986,31.86,13.988,71.191,42.816,19.2520695722403,69.338,41.361,5269013.0,20.364,,20.553,67.918,20.38,43.667,11.732,15.7,12.35
2006,ZAF,17.4301926351168,20.681,6.46386625262657,17.9941174777394,46.565,11.5302574152867,82.0058763320867,1.11059767057566,41660.9785645563,27.8735916967483,54.6962156681349,32.374,40.346,36.412,56.143,71.222,63.28,76.6096895207789,68.507,59.948,20797349.0,38.913,46.663,43.204,38.664,28.241,33.384,19.518,22.616,22.324
2006,ZMB,64.7112292829494,29.361,0.67510749313598,82.7231212946643,51.6,82.0479836829696,17.2768787053357,9.65426304103473,9766.86405215097,7.22770112269939,28.0610695943512,37.02,43.194,40.084,51.443,68.083,59.504,75.9227644669453,67.948,59.467,3826396.0,27.212,,26.751,42.1,33.624,37.894,13.88,,13.229
2006,ZWE,71.9693723560616,45.134,0.357861219034391,72.3603640199438,62.499,72.0025028009094,27.6396359800562,1.07347445985582,6954.05328561581,9.88877168384339,18.141855960095,43.115,56.014,49.181,61.852,72.161,66.539,85.1900613462562,71.398,65.622,4807668.0,7.41,,8.228,25.19,12.864,19.393,4.464,,4.759
2007,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71,
2007,AFE,62.8906495998815,48.7992826468305,2.50510733532235,75.0889150366185,66.6661645115863,72.5838098960963,24.9110844017695,27.5713858937661,10174.8410168417,9.93064774046064,27.1787021109587,52.9425852798547,57.189309914559,55.0607865647675,67.6356636516971,78.484448355372,72.9284295508592,86.6291048874149,77.744289153294,71.7630031653357,196182416.0,13.3316673300295,,14.1930991772745,27.2058705591845,16.2301179731362,21.7313251132768,6.50193780025584,,7.10223115357479
2007,AFG,60.1907517756168,33.883,0.434064410120771,91.4646231360054,42.977,91.0305587258846,8.53537686399464,33.325483466024,9947.90436160528,11.8600391222661,27.9491912884999,12.925,61.477,37.689,15.128,80.537,47.662,18.5537054349749,79.154,46.621,6089718.0,9.362,,10.098,67.525,17.448,41.984,7.341,,7.817
2007,AFW,50.2237207659862,54.2524241169593,9.86332928323082,85.4464225195543,71.7820585444422,75.5830924890933,14.5535789749143,19.6813961718694,9844.13741664168,11.370907830396,38.4053736453052,54.4449916047477,62.416913093863,58.4699933489899,69.7316298196201,81.527006983793,75.6143036207488,85.2689918890576,81.0071196956714,74.7345483338491,139330958.0,7.53071401198542,,7.39835407688067,25.6778500454808,13.849522757902,19.7054989429211,3.89398845971403,,3.95064260570811
2007,AGO,42.6128973089827,35.632,1.94873537280935,72.5438536526267,64.774,70.595131816462,27.4561463473733,12.579806980983,26056.8248827361,8.47795997349525,48.9091291808773,58.748,55.618,57.19,76.561,79.216,77.859,95.7693866180418,78.972,77.252,8810501.0,36.761,,37.696,31.115,20.432,25.798,14.186,,16.153
2007,ALB,45.583822882183,26.22,3.21485294399051,58.0960217378825,45.609,54.8811687938919,41.9039782621175,20.7837884383551,29236.1172590808,16.2697334430433,38.1464436747737,31.385,40.048,35.744,52.692,70.641,61.484,73.2341534744739,62.916,54.275,1222005.0,27.826,26.581,26.645,32.208,28.488,30.336,15.639,15.966,15.966
2007,ARB,24.5793696335395,24.477093175502,6.95395742377094,36.1435448421788,42.2418403361445,29.1895852733101,63.8564595551824,9.1797122016789,55669.7996004845,23.7027399260475,51.7178925855031,15.3329880010023,46.6559991880135,31.6147348865714,21.6958633681213,73.9420153955879,48.9406418326758,29.9521782789221,71.5961308787482,47.0142634332756,102880999.0,19.9863010813029,23.3001438317169,23.3428283545003,48.9059134417336,18.8222805661481,33.2683699438134,8.4156915826686,9.75105152613459,10.1508222413371
2007,ARE,4.75996879962432,47.847,3.45469412162783,3.75066403506219,75.075,0.295969913434364,96.2493359649378,0.0221107270977089,135729.009598433,25.3044575796428,69.9355736207329,28.899,64.369,51.894,40.58,93.107,78.541,42.9679943487475,92.015,77.346,3611116.0,6.461,,7.799,21.707,6.55,11.881,2.321,,2.936
2007,ARG,0.832650029041697,35.111,4.46498032629879,23.6432247268958,55.937,19.178244400597,76.3567752731042,0.944331588808416,65213.8451434454,23.9756595985387,75.1916843030994,36.769,50.981,44.022,56.339,80.211,68.282,66.0927152317881,73.99,61.114,18001087.0,17.39,,20.241,24.484,14.208,19.24,7.062,8.47,8.47
2007,ARM,52.2801407694269,39.229,0.525986622099498,65.5028880052265,54.073,64.9769013831271,34.4971119947735,0.385790688789053,25126.7995956925,15.331963665306,32.387973064401,41.536,47.788,44.544,63.397,75.573,68.989,80.2528392727917,67.711,60.345,1504185.0,13.182,12.137,11.931,27.456,31.474,29.389,10.429,10.394,10.394
2007,AUS,3.32081122887186,64.141,5.25485135446686,14.2488222739128,62.415,8.99396142796981,85.7511777260872,0.425142198922547,102552.399276575,21.9081018196204,74.7710869515078,69.689,71.789,70.764,69.437,82.979,76.223,80.064729376119,72.61,65.275,10951719.0,9.466,9.366,9.36,11.74,8.653,10.159,4.042,4.381,4.381
2007,AUT,5.52684702595985,52.778,6.35277926362054,18.6633574515274,56.506,12.3105529447075,81.3366677916719,5.46356232533284,126805.642545875,27.3241981560853,67.1489548179549,56.289,60.399,58.38,67.232,79.359,73.304,78.1787787877431,66.999,59.423,4165230.0,9.512,9.601,9.596,9.183,12.179,10.707,4.55,4.909,4.909
2007,AZE,38.5491082887563,34.153,10.948001478485,67.4086984198692,57.876,56.4606969413842,32.5913272482725,36.5581075392466,36891.823286503,12.6254915449141,48.8254001663296,37.26,41.74,39.46,61.796,72.5,66.844,82.9924665999647,67.964,61.787,4042762.0,15.167,13.61,13.45,11.169,6.61,8.93,7.108,6.33,6.33
2007,BDI,89.6841566461705,61.293,0.633132242112803,87.8543114546164,75.812,87.2212088341113,12.1456885453836,44.3436355309999,2299.9052086085,2.69150813675941,7.6243352170701,67.43,58.974,63.21,78.523,78.031,78.281,99.9961379026236,77.678,77.677,3458975.0,4.073,,3.033,10.749,9.625,10.188,3.09,,2.401
2007,BEL,1.85631866263634,27.485,3.44244809696872,14.8270674838674,49.654,11.3846193868987,85.1729325161326,1.29289196949235,138230.599734102,24.4302635668538,73.713440590546,31.56,36.116,33.866,60.452,73.655,67.09,76.1855703819989,61.152,53.656,4735412.0,17.103,18.842,18.841,12.168,10.187,11.165,6.663,7.459,7.459
2007,BEN,47.2313207091592,48.946,1.27339953446336,90.296562407973,71.174,89.0231628735096,9.70343759202698,18.412052953382,6892.97366452184,18.0456656914392,34.7230135994015,52.448,47.067,49.74,68.865,76.278,72.514,88.7996430165105,76.194,71.822,3577425.0,1.322,,1.597,21.062,9.537,15.263,0.938,,0.902
2007,BFA,43.6248615016184,60.904,3.7739464657204,78.6937449482421,69.503,74.9197984825217,21.3062550517579,22.8265242110192,4561.53232899681,20.2083648489552,36.1667736494264,55.578,72.705,64.251,61.445,84.851,72.941,71.3385396885682,84.256,71.875,5817468.0,4.426,,5.209,46.297,24.686,35.353,2.824,3.3,3.3
2007,BGD,47.9331466885526,42.848,0.261843018819051,63.9403875511549,55.859,63.6785426682864,36.0596143128945,21.9078594045216,9955.61548433281,15.2206642103839,36.8461872370141,25.418,67.648,46.586,31.873,87.374,59.476,35.8763775308124,85.842,58.197,55891567.0,6.577,,8.024,55.087,9.274,32.123,3.086,,4.017
2007,BGR,7.54434069960347,24.532,4.16804711777063,12.4112469088573,49.864,8.24319979108665,87.5887530911427,1.16543631101975,47294.4367201517,35.50029073368,56.9553685667165,25.959,31.717,28.924,62.005,70.766,66.386,80.8765878691007,59.435,53.547,3500732.0,14.544,15.117,15.183,20.638,17.74,19.146,6.52,6.878,6.878
2007,BHR,1.23030834636089,40.99,1.83918453387283,3.89270480380853,68.54,2.05334342526898,96.1072951961915,0.544504728826388,98606.9833295358,33.4529982244795,65.3168702738263,26.003,53.595,42.704,42.006,85.872,70.527,47.7984903260754,84.919,69.237,561432.0,1.872,,4.014,30.975,13.769,20.56,0.374,5.6,1.006
2007,BHS,2.30292887029289,44.726,0.908786610878661,14.6398884239888,67.531,13.7311018131101,85.3601115760112,0.17907949790795,70542.0502298098,17.9576011157601,79.7400278940028,47.836,62.844,55.33,74.371,85.624,79.844,85.1996976187476,79.37,73.307,194582.0,16.965,18.9,19.164,25.82,10.055,17.948,6.755,7.88,7.88
2007,BIH,19.8154753165384,13.748,4.8106366945195,26.9944005016268,36.594,22.1836826902251,73.0056806152553,4.36441272594094,36382.1099436412,32.5798656542198,47.6046590292418,25.77,41.569,33.832,49.097,72.208,60.417,63.7897774501655,63.761,51.529,1735948.0,55.801,58.422,59.365,32.48,32.238,32.357,26.409,28.984,28.984
2007,BLR,14.3179338350263,40.087,0.550841187968715,4.11071509846524,56.825,3.55989554265125,95.8892849015348,0.0428316663594901,41414.8420618834,33.0718222148384,52.6102439501353,43.17,49.094,46.203,71.072,76.658,73.778,82.8136544997783,67.67,61.353,4989962.0,15.09,,13.237,16.703,12.209,14.402,9.132,1.0,7.38
2007,BLZ,19.1264583792697,38.294,5.68300562740267,30.4617921408097,56.007,24.778786513407,69.5382078591903,3.98999146782219,36795.253156914,17.2397925434518,63.632790405614,32.896,59.856,46.257,45.397,81.411,63.366,54.9513531294677,79.039,61.216,114014.0,11.709,,17.215,41.967,14.322,28.267,5.932,8.51,8.51
2007,BOL,36.1000275613897,45.234,5.82034507814429,60.4638426781557,67.143,54.6435214626865,39.5361334591692,18.8539950294048,16104.3897283617,19.6700030663537,44.2299693722565,41.125,54.426,47.892,59.462,81.061,70.426,72.8520870460079,79.682,68.947,4303228.0,4.31,,5.549,18.054,4.226,11.019,2.08,5.18,2.616
2007,BRA,13.5486373345508,50.663,3.87530499436488,34.7536540658299,61.05,30.8783502477154,65.2463459341701,4.7613038099984,36462.8085291765,23.2999339006114,63.1514299410881,54.025,70.587,62.389,60.872,82.769,71.731,71.4969831692601,78.725,67.295,93712199.0,14.629,18.899,18.795,26.36,12.141,19.179,6.888,9.28,9.28
2007,BRB,3.00626995311916,45.727,1.10299404642066,15.6274267307084,64.461,14.5244326842877,84.3725732692916,0.0704650694584256,40768.7706382639,16.9986194598637,79.9958296183382,50.719,60.161,55.416,75.75,84.046,79.745,86.0547114079672,75.158,69.62,150206.0,15.508,,17.485,24.053,27.853,25.943,6.431,,7.41
2007,BRN,1.36061052595366,36.537,2.49989965999071,7.07655082651499,63.155,4.57665116652428,92.923449173485,0.506860389777933,205743.69307718,19.2595480685982,79.3792680339665,41.27,49.752,45.772,59.196,79.173,70.016,73.5163988984743,76.621,67.251,185717.0,18.62,,20.177,20.07,15.248,17.511,5.278,,6.091
2007,BTN,61.9058335610603,43.302,0.135028693597389,70.4261441270556,66.992,70.2911154334582,29.5738558729444,44.1045507884711,17879.9699245055,6.71639151891205,31.3777749200276,52.675,45.618,48.892,67.494,75.311,71.783,88.0647749058425,73.547,69.566,322998.0,10.671,,11.433,16.836,10.33,13.348,2.896,3.7,3.7
2007,BWA,27.5232140616787,28.097,3.39297710117631,27.7050515894506,50.509,24.3120744882743,72.2949484105494,3.42569197516846,48108.7133979209,16.4460530139769,56.0307329243445,36.766,45.522,41.103,56.189,68.863,62.403,79.7708630921702,67.907,60.853,758634.0,26.739,,31.642,46.571,33.928,40.308,14.685,,16.998
