year,country,Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",GDP per person employed (constant 2021 PPP $),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
1971,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.52,
1971,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,
1971,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,
1971,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,
1971,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,
1971,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03,
1971,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,
1971,USA,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,5.9,
1972,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,
1972,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,
1972,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,
1972,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,
1972,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,
1972,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,
1972,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,
1972,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,
1972,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,
1972,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,
1972,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,
1972,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,
1972,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,
1972,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18,
1972,JPN,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,1.4,
1972,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,
1972,NAC,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,
1972,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,
1972,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,
1972,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79,
1972,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,
1972,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,
1972,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83,
1972,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,
1972,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,
1972,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,
1972,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,
1972,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,
1972,USA,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,5.6,
1973,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,
1973,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.46,
1973,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,
1973,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,
1973,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,
1973,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,
1973,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,
1973,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,
1973,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,
1973,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,
1973,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,
1973,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,
1973,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,
1973,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,
1973,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,
1973,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,
1973,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.11,
1973,JPN,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,1.3,
1973,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,
1973,NAC,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,
1973,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,
1973,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
1973,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,
1973,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,
1973,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,
1973,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.61,
1973,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,
1973,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,
1973,SYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,
1973,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,
1973,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,
1973,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,
1973,USA,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,4.9,
1974,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,
1974,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99,
1974,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.46,
1974,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,
1974,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
1974,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,
1974,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,
1974,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,
1974,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,
1974,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,
1974,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,
1974,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,
1974,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,
1974,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,
1974,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,
1974,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,
1974,ISR,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,3.05,
1974,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38,
1974,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,
1974,JPN,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,1.4,
1974,KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,
1974,NAC,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,
