year,country,"Access to electricity, urban (% of urban population)",Population density (people per sq. km of land area),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population)
1960,SVK,,,17.5208084345872,,,1361347.0,33.464
1960,SVN,,,,,,446954.0,28.204
1960,SWE,,,14.8295303012905,10.7499262491155,,5425627.0,72.49
1960,SWZ,,,,,,13513.0,3.913
1960,SXM,,,,,,2715.0,100.0
1960,SYC,,,,,,11540.0,27.673
1960,SYR,,,33.7444736727368,26.1298384508398,,1720175.0,36.807
1960,TCA,,,,,,2670.0,47.679
1960,TCD,,,34.9091763922287,2.33717331871398,,204187.0,6.695
1960,TEA,,,12.2358120324782,,,147173757.0,16.643860576389
1960,TEC,,,13.260721490023,11.2601185600018,,138551083.0,45.0170741485597
1960,TGO,,,56.1724997188534,5.67231084626833,,168951.0,10.098
1960,THA,,,40.7183002175577,8.45930434246978,,5282276.0,19.672
1960,TJK,,,34.256272196782,,,700552.0,33.168
1960,TKM,,,23.4865180574256,,,762761.0,46.412
1960,TLA,,,28.0127747410599,23.5824626459468,,102620111.0,49.1779196146547
1960,TLS,,,,,,47238.0,10.091
1960,TMN,,,32.5930038122624,15.6818890805237,,32807553.0,33.7739261303682
1960,TON,,,,,,11614.0,17.552
1960,TSA,,,9.78620755047051,7.32248313077321,,93628943.0,16.6403034845216
1960,TSS,,,22.4624413763982,5.78268173036802,,33321707.0,14.6338432678787
1960,TTO,,,62.3649468103538,,,288590.0,34.155
1960,TUN,,,36.7508130807608,13.7855940353686,,1600702.0,37.511
1960,TUR,,,16.2782909414665,11.8225487433806,,8928167.0,31.515
1960,TUV,,,,,,890.0,15.895
1960,TZA,,,31.2124105747091,1.8761351277024,,519428.0,5.246
1960,UGA,,,40.7363511919929,1.79932581884532,,337502.0,4.417
1960,UKR,,,5.80412960213592,6.59569602559942,,20038250.0,46.792
1960,URY,,,63.2964592724462,50.7897169793795,,2030063.0,80.241
1960,USA,,,11.1997817724156,38.7326062290019,,126462473.0,69.996
1960,UZB,,,34.5571688289246,11.7418345888695,,2789291.0,33.978
1960,VCT,,,,,,21893.0,25.943
1960,VEN,,,26.1657871350501,28.7982362939624,,5027676.0,61.613
1960,VGB,,,,,,972.0,12.228
1960,VIR,,,,,,18355.0,56.477
1960,VNM,,,29.2752657044026,6.6599731408521,,4782194.0,14.7
1960,VUT,,,,,,6703.0,10.404
1960,WSM,,,,,,21290.0,18.926
1960,YEM,,,24.0346894062637,1.30144762549977,,503439.0,9.1
1960,ZAF,,,14.9750582053494,24.4421530383015,,7664244.0,46.619
1960,ZMB,,,17.2947204339408,2.8836339457195,,572244.0,18.145
1960,ZWE,,,51.631104670531,6.5096528603406,,480288.0,12.608
1961,ABW,,308.766666666667,,,1.15867889277515,28212.0,50.761
1961,AFE,,12.0360166751227,23.9871965900371,6.60033484584478,4.41238217614814,19796785.0,14.8251752460665
1961,AFG,,14.127045674072,37.5377897421862,3.25978179271882,5.27538876806322,800151.0,8.684
1961,AFW,,11.0214770664715,21.4507958654878,5.11380195253003,4.79512681041099,15050171.0,15.0944452002782
1961,AGO,,4.25249298147108,40.7245857825369,4.3974412925347,4.7473658029544,572465.0,10.798
1961,ALB,,60.5766423357664,26.8138911821056,,3.89300966533454,513592.0,30.943
1961,AND,,21.8787234042553,,,12.0517595589551,6271.0,60.983
1961,ARB,,8.36029483818674,34.5297318377924,14.8229278027889,4.98302956437328,29801857.0,31.7271627316738
1961,ARE,,1.94295972965362,34.4300467653936,45.0666357463276,6.13738794468572,102640.0,74.383
1961,ARG,,7.57348329551392,44.9815113616713,41.3371654415873,2.47503880036518,15382420.0,74.217
1961,ARM,,,55.5274219624425,28.9558823834595,5.05120785955263,1005125.0,52.147
1961,ASM,,103.33,,,3.26204112856601,13772.0,66.641
1961,ATG,,128.5,,,0.104254026621963,22073.0,39.04
1961,AUS,,1.36456529945459,25.4197296235393,54.6152723457026,2.49380799303402,8589875.0,81.941
1961,AUT,,85.8737154629181,35.4318413103315,22.9647944575864,0.693616918619887,4592914.0,64.814
1961,AZE,,,48.5918687459199,25.4446517950936,3.24078518030738,2118517.0,52.364
1961,BDI,,110.401830218069,82.9978486733486,,4.34395293131599,59963.0,2.115
1961,BEL,,,17.5509825695217,25.1583850431209,0.433816323856793,8500111.0,92.554
1961,BEN,,22.6961954593828,30.8947537435031,,7.72812674765532,252237.0,9.856
1961,BFA,,17.7201169590643,27.1330331453933,1.30130126000779,3.46817632714256,232521.0,4.796
1961,BGD,,409.544042406084,19.3183756734856,1.72413618459215,5.56543996425303,2813720.0,5.278
1961,BGR,,71.798951459821,23.5856841421847,9.14699995644028,5.3920718990302,3080500.0,38.782
1961,BHR,,249.776811594203,47.7262957612487,,4.0879252774819,141905.0,82.337
1961,BHS,,12.2074925074925,,,6.16683417523987,73873.0,60.454
1961,BIH,,,26.4980412505652,,5.34745797736807,659094.0,19.686
1961,BLR,,,20.9484552293686,7.02234109228921,4.29039493600466,2772677.0,33.522
1961,BLZ,,4.10486628671635,,,1.93108895339498,50299.0,53.72
1961,BMU,,798.574074074074,,,2.14467209295879,43123.0,100.0
1961,BOL,,3.48816671282193,32.4588677197292,18.103617325499,2.84743551902186,1400360.0,37.059
1961,BRA,,8.92608247768044,13.3153432062661,21.7988078001865,5.1252665291253,35155579.0,47.122
1961,BRB,,542.204651162791,,,1.16726237359055,85913.0,36.849
1961,BRN,,17.5554079696395,,,8.73764356638275,41844.0,45.228
1961,BTN,,4.93551355863279,,,8.1702364105082,8744.0,3.792
1961,BWA,,0.931558237608738,,,3.45344630892138,16350.0,3.097
1961,CAF,,2.78432694468522,28.4306126247767,,5.06321509654406,359943.0,20.751
1961,CAN,,2.03790269240507,16.6117554819531,30.7780088665098,2.87427814907562,12729040.0,69.668
1961,CEB,,125.095263800353,18.4097598462513,,2.4949362110076,41695965.0,45.2073380737434
1961,CHE,,137.479609390812,14.1150814375829,10.0560072752781,2.4273824566381,3871554.0,71.243
1961,CHI,,564.555555555556,,,0.191035376334722,42965.0,38.436
1961,CHL,,11.1962928293604,35.813548003441,24.5895818302946,3.28840279819334,5715809.0,68.66
1961,CHN,,70.3357920805262,6.12004288741521,8.44078566777217,2.0535955782573,110327936.0,16.708
1961,CIV,,11.981606918239,28.9515611945519,5.47503235436076,10.3846128695008,720538.0,18.911
1961,CMR,,11.0834824733981,21.2384693821091,4.64806853928016,5.42023379586732,759066.0,14.488
1961,COD,,6.90870249884211,13.8224011774457,6.75004951356672,3.5658827573933,3527636.0,22.523
1961,COG,,3.17537042459736,37.627584868727,18.6128778510295,4.82712563289698,350453.0,32.318
1961,COL,,14.5067174402884,17.7190040707323,21.8002842213298,6.13751817534198,7677734.0,47.702
1961,COM,,108.114454594304,,,7.91215502998547,26856.0,13.348
1961,CPV,,53.3714640198511,,,3.9818922385189,36453.0,16.948
1961,CRI,,26.9862906384646,50.7699365362581,17.4288057361821,3.94685103600226,473026.0,34.329
1961,CSS,,4.45182315967294,,,2.74824897920578,640922.0,36.6008355983677
1961,CUB,,68.7813500931099,33.887550820663,19.8540377795559,2.35782060130984,4327964.0,58.588
1961,CUW,,,,,1.55764400488288,94722.0,75.102
1961,CYM,,35.8375,,,2.03189796273999,8601.0,100.0
1961,CYP,,64.4495670995671,,,3.05031872789911,215427.0,36.175
1961,CZE,,,17.5031043603455,10.512889224819,0.701076161801269,5758030.0,60.063
1961,DEU,,210.172806690917,6.18204360230263,9.51314972933441,1.20737022423226,52609561.0,71.697
1961,DJI,,3.85634167385677,91.7675965991868,,6.0434377025171,45989.0,51.448
1961,DMA,,80.2786666666667,,,1.57191509341704,22826.0,37.912
1961,DNK,,115.292175,37.8782002512326,28.1878193381294,1.68394231259379,3431879.0,74.417
1961,DOM,,69.8247360794867,37.2970423447803,11.6038530395025,6.16404618630886,1049480.0,31.112
1961,DZA,,4.88251572379857,24.7132492219353,7.8580720091517,5.90121887379137,3697636.0,31.797
1961,EAP,,56.2440862310045,12.1958946532416,,2.74043231785879,156037947.0,17.4240002796017
1961,EAR,,31.9523570799024,21.7280252094055,10.6363967487629,3.89539717077523,230306743.0,23.1655715664594
1961,EAS,,42.8243776937372,19.4174681441317,,2.77287871848728,242503158.0,23.2115995096024
1961,ECA,,165.135472943302,18.1173126004225,10.1361582444336,3.80880485366701,51355476.0,39.3207644806972
1961,ECS,,123.204193526367,15.6563782584218,15.2057887617822,2.10697813581004,378291719.0,56.0815544679835
1961,ECU,,17.0579793382459,29.6678727376952,17.2901899506833,4.54361837505407,1627599.0,34.466
1961,EGY,,27.727056105279,36.5635036999395,19.6177312781635,3.65706995554861,10563416.0,38.272
1961,EMU,,113.044962340881,15.6680147389383,16.3077152482233,1.65189608654967,169157734.0,62.082395574484
1961,ERI,,,100.0,,5.50365420157763,100692.0,10.114
1961,ESP,,61.5055624474769,14.4842559362417,16.3684897972462,2.22173244337957,17614512.0,57.303
1961,EST,,,42.4466132507501,,2.44254520285405,714269.0,58.304
1961,ETH,,,36.6532899126552,2.43744414227597,5.76397762429497,1456756.0,6.65
1961,EUU,,100.330576898561,16.0908588748688,14.4076277753756,1.75624781483702,213605243.0,59.2224359198533
1961,FCS,,15.545934754126,19.75412707679,7.21802836072456,4.14495802531081,56623270.0,22.673126420747
1961,FIN,,14.6459338783282,18.1289982857595,10.2104346442113,2.5532523135899,2512483.0,56.321
1961,FJI,,22.8465243568692,,,4.93704983829518,126257.0,30.248
1961,FRA,,87.4889638874583,25.1392464875717,21.4077315020909,2.20247547901491,29992498.0,62.607
