year,country,"Foreign direct investment, net outflows (BoP, current US$)","Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)","Portfolio equity, net inflows (BoP, current US$)","Personal transfers, receipts (BoP, current US$)","Personal remittances, received (current US$)",Market capitalization of listed domestic companies (current US$),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total","Stocks traded, total value (current US$)","Stocks traded, total value (% of GDP)","Automated teller machines (ATMs) (per 100,000 adults)","Commercial bank branches (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",Domestic credit to private sector by banks (% of GDP),Bank liquid reserves to bank assets ratio (%),Total reserves in months of imports,Monetary Sector credit to private sector (% GDP),Broad money (% of GDP),"Inflation, consumer prices (annual %)","Claims on central government, etc. (% GDP)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Net migration
1960,LCN,,,,,,,,,,,,,,,15.7477818165672,,,18.0081188874525,19.0842582641934,,4.01019147510803,,,,,,,,,,-299395.0
1960,LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-164999.0
1960,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0
1960,LKA,,,,,,,,,,,,,,,7.27164357025779,,,7.27164357025779,23.1560125167635,-1.54467680609201,14.1111607808076,,,,,,,,,,-12610.0
1960,LMY,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-165045.0
1960,LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989.0
1960,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-422318.0
1960,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2328.0
1960,LUX,,,,,,,,,,,,,,,,,,,,0.449620296389857,,,,,,,,,,,61.0
1960,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11420.0
1960,MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8727.0
1960,MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1960,MAR,,,,,,,,,,,,,,,10.8351912889485,,,11.9992225823002,27.839748432661,3.42429906542058,3.99650744050743,,,,,,,,,,-19434.0
1960,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0
1960,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13697.0
1960,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1960,MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.0
1960,MEA,,,,0.0,,,,,,,,,,,,,,13.2682307718637,23.7051288413819,,9.11515453005143,,,,,,,,,,-20282.0
1960,MEX,,,,,,,,,,,,,,,20.6134969325153,,,20.6134969325153,22.9386503067485,4.92751886903116,3.30061349693252,,,,,,,,,,-85591.0
1960,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
1960,MIC,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-50200.0
1960,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10126.0
1960,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10314.0
1960,MLT,,,,,,,,,,,,,,,,,,,,3.38461538461553,,,,,,,,,,,-5540.0
1960,MMR,,,,,,,,,,,,,,,6.19179720834899,,,6.19179720834899,26.4009084134353,7.38993710703491,14.0663255841385,,,,,,,,,,8807.0
1960,MNA,,,,,,,,,,,,,,,,,,14.5265669155175,25.3418902382673,,9.73336992433981,,,,,,,,,,-65459.0
1960,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2467.0
1960,MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10334.0
1960,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
1960,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54351.0
1960,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-318.0
1960,MUS,,,,,,,,,,,,,,,20.0167312925514,,,20.0167312925514,28.3343633247961,,-1.41218363164279,,,,,,,,,,-7083.0
1960,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1960,MYS,,,,,,,,,,,,,,,8.08046368905557,,,8.91578588475963,28.2049096488237,0.063182597888167,-1.79849982952608,,,,,,,,,,-46948.0
1960,NAC,,,,70257019.8164936,,,,,,,,,,,37.5767028355412,,,37.5924564594732,58.5758747977224,1.40833581922591,22.7643732860194,,,,,,,,,,472345.0
1960,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3227.0
1960,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.0
1960,NER,,,,,,,,,,,,,,,2.59476830783485,,,,,,,,,,,,,,,,-3641.0
1960,NGA,,,,,,,,,,,,,,,3.69669893126365,,,3.69669893126365,9.20838361939322,5.4443273618724,-1.91174051228707,,,,,,,,,,12131.0
1960,NIC,,,,,,,,,,,,,,,15.3713676475468,,,15.3713676475468,12.6400036758543,,1.44651674513311,,,,,,,,,,-2418.0
1960,NLD,,,,,,,,,,,,,,,,,,,,2.32394366197218,,,,,,,,,,,-13235.0
1960,NOR,,,,,,,,,,,,,,,31.4925722419958,,,32.5220863387584,50.8553566003394,0.360492346844622,14.8091643149704,,,,,,,,,,-1427.0
1960,NPL,,,,,,,,,,,,,,,1.04053707824779,,,1.04570103397111,5.41182559803319,,0.00258197786165706,,,,,,,,,,-13223.0
1960,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
1960,NZL,,,,,,,,,,,,,,,13.2491304408451,,,15.3307347988548,29.9863546707875,0.697929233796477,6.44523781795889,,,,,,,,,,3846.0
1960,OED,,,,162097034.521917,,,,,,,,,,,35.6008300992105,,,35.7978315556015,53.9721499952974,1.94574935198645,20.666659050139,,,,,,,,,,276837.0
1960,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2996.0
1960,OSS,,,,,,,,,,,,,,,35.8265219102721,,,35.9332437117002,33.0512269370622,,-0.365789903599627,,,,,,,,,,-5814.0
1960,PAK,,,,,,,,,,,,,,,11.0227400022404,,,11.0227400022404,40.618348829394,6.94736842105289,24.7227512042119,,,,,,,,,,0.0
1960,PAN,,,,,,,,,,,,,,,8.97333337553158,,,17.8349655057246,13.0876625788355,0.0511770724157666,-2.36434302633301,,,,,,,,,,-2409.0
1960,PER,,,,,,,,,,,,,,,9.82722735983295,,,9.82722735983295,16.3787122663883,8.6644591627191,4.55755471760369,,,,,,,,,,-7236.0
1960,PHL,,,,,,,,,,,,,,,10.6771353385422,,,10.6771353385422,17.9576606473095,4.15482177982161,3.68450310383832,,,,,,,,,,-155354.0
1960,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.0
1960,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2034.0
1960,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6306.0
1960,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-92553.0
1960,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26328.0
1960,PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1960,PRT,,,,,,,,,,,,,,,,,,,,3.046592778327,,,,,,,,,,,-95886.0
1960,PRY,,,,,,,,,,,,,,,8.15324277105782,,,8.15324277105782,8.51860697658609,8.18181818181802,1.6469494187659,,,,,,,,,,-16811.0
1960,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17662.0
1960,PSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3432.0
1960,PST,,,,162097034.521917,,,,,,,,,,,36.2810220185268,,,36.4736897794434,55.5012591877472,1.53661234295201,21.3997176131644,,,,,,,,,,408448.0
1960,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-957.0
1960,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586.0
1960,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55397.0
1960,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-234895.0
1960,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13198.0
1960,SAS,,,,,,,,,,,,,,,8.0224755713074,,,8.02253705090649,23.5379403359884,,15.6459091394876,,,,,,,,,,138757.0
1960,SAU,,,,,,,,,,,,,,,6.97890970918054,,,6.97890970918054,12.8264478990222,,,,,,,,,,,,15000.0
1960,SDN,,,,,,,,,,,,,,,8.87047424783274,,,8.87047424783274,9.9949005609383,0.092240285829437,-11.6981132075472,,,,,,,,,,2194.0
1960,SEN,,,,,,,,,,,,,,,11.72691872277,,,11.72691872277,,,,,,,,,,,,,9337.0
1960,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0
